model,combo,sharpe,cost_adjusted_sharpe,sortino,max_drawdown,cvar,turnover
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_FILBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_LINKBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_ICPBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LINKBTC_LTCBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LINKBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LINKBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LINKBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LINKBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LINKBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LINKBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LINKBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LTCBTC_NEARBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LTCBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LTCBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LTCBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LTCBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LTCBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_LTCBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_NEARBTC_SOLBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_NEARBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_NEARBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_NEARBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_NEARBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_NEARBTC_XRPBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_SOLBTC_STXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_SOLBTC_TRXBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_SOLBTC_UNIBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_SOLBTC_XLMBTC,,,inf,0.0,0.0,0.0
MV,AAVEBTC_ADABTC_BCHBTC_SOLBTC_XRPBTC,,,inf,0.0,0.0,0.0
